date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2021-09-11,09:35:00,40.667202,-73.8665,0,0,Unspecified
2021-12-14,08:13:00,40.683304,-73.917274,0,0,
2021-12-14,17:05:00,40.709183,-73.956825,0,0,Passing Too Closely
2021-12-14,08:17:00,40.86816,-73.83148,2,0,Unspecified
2021-12-14,21:10:00,40.67172,-73.8971,0,0,Driver Inexperience
2021-12-14,14:58:00,40.75144,-73.97397,0,0,Passing Too Closely
2021-12-13,00:34:00,40.701275,-73.88887,0,0,Passing or Lane Usage Improper
2021-12-14,16:50:00,40.675884,-73.75577,0,0,Turning Improperly
2021-12-14,00:59:00,40.59662,-74.00231,0,0,Unsafe Speed
2021-12-14,23:10:00,40.66684,-73.78941,2,0,Reaction to Uninvolved Vehicle
2021-12-14,17:58:00,40.68158,-73.97463,0,0,Passing Too Closely
2021-12-14,20:03:00,40.65068,-73.95881,4,0,Steering Failure
2021-12-11,19:43:00,40.87262,-73.904686,1,0,Unspecified
2021-12-14,14:30:00,40.783268,-73.82485,0,0,Following Too Closely
2021-12-11,04:45:00,40.748917,-73.993546,0,0,Following Too Closely
2021-12-14,05:46:00,40.744644,-73.77041,1,0,Other Vehicular
2021-12-13,06:30:00,40.75373,-73.88505,0,0,Unspecified
2021-12-14,03:43:00,40.804375,-73.93742,1,0,Unspecified
2021-12-13,17:40:00,40.63165,-74.08762,1,0,Unspecified
2021-12-14,17:31:00,40.623104,-73.95809,1,0,Unspecified
2021-12-14,20:13:00,40.66576,-73.9845,0,0,Passing Too Closely
2021-12-14,12:54:00,40.687534,-73.9775,1,0,Unspecified
2021-12-14,17:15:00,40.710957,-73.951126,1,0,Passing or Lane Usage Improper
2021-12-14,22:49:00,40.81813,-73.910126,0,0,Driver Inattention/Distraction
2021-12-12,09:00:00,40.70447,-73.90148,0,0,Passing Too Closely
2021-12-14,16:25:00,40.784615,-73.953964,1,0,Driver Inattention/Distraction
2022-07-12,17:50:00,40.663303,-73.96049,0,0,Oversized Vehicle
